smsa,year,total_units,private_total,private_1_unit,private_2_units,private_3_4_units,private_5plus_units,public_units,private_structures,total_valuation,private_valuation,private_1_unit_val,private_2_units_val,private_3_4_units_val,private_5plus_units_val,public_valuation,states,primary_state,adoption_year,event_year,treat
"NEW YORK, NY-NJ",1967,45208,41870,16951,6274,111,18534,3338,406,584667,540268,291808,60365,743,187352,44399,NY-NJ,NY,1975,-8,0
"NORFOLK-VIRGINIA BEACH-PORTSMOUTH, VA-NC",1967,4305,4305,2773,144,100,1288,0,142,56652,56652,45953,944,792,8964,0,VA-NC,VA,1971,-4,0
"NORWALK, CONN",1967,858,858,554,28,0,276,0,18,18169,18169,15381,329,0,2459,0,CT,CT,1973,-6,0
"ODESSA, TEX",1967,167,167,153,0,14,0,0,0,3196,3196,3126,0,70,0,0,TX,TX,Inf,-Inf,0
"SALT LAKE CITY-OGDEN, UTAH",1967,3586,3586,2505,154,213,714,0,42,47376,47376,38407,1506,1952,5512,0,UT,UT,Inf,-Inf,0
"OKLAHOMA CITY, OKLA",1967,5423,5423,3421,58,24,1920,0,59,66672,66672,54466,554,197,11455,0,OK,OK,Inf,-Inf,0
"OMAHA, NEBR-IOWA",1967,4405,4405,1919,42,56,2388,0,156,38191,38191,24644,444,366,12736,0,NE-IA,NE,Inf,-Inf,0
"ORLANDO, FLA",1967,4311,4311,2892,142,50,1227,0,66,47763,47763,38031,853,397,8483,0,FL,FL,Inf,-Inf,0
"OXNARD-SIMI VALLEY- VENTURA, CALIF",1967,2946,2886,2305,108,45,428,60,44,62696,61857,56213,1493,390,3762,839,CA,CA,1970,-3,0
"PATERSON-CLIFTON-PASSAIC, NJ",1967,5294,5194,2604,500,83,2007,100,96,78690,77817,56887,5326,693,14911,873,NJ,NJ,1989,-22,0
"PENSACOLA, FLA",1967,1636,1386,1099,96,15,176,250,5,21954,18551,16538,725,118,1170,3404,FL,FL,Inf,-Inf,0
"PEORIA, ILL",1967,2042,2042,1440,112,34,456,0,30,34535,34535,27875,1466,419,4775,0,IL,IL,Inf,-Inf,0
